"x","y","cd","ni","zn"
2.386,3.077,1.74,21.32,92.56
2.544,1.972,1.335,29.72,73.56
2.807,3.347,1.61,21.4,64.8
4.308,1.933,2.15,29.72,90
4.383,1.081,1.565,26.2,88.4
3.244,4.519,1.145,22.04,75.2
3.925,3.785,0.894,21.76,72.4
2.116,3.498,0.525,9.72,72.08
1.842,0.989,0.24,11.32,56.4
1.709,1.843,0.625,16.88,75.6
3.8,4.578,3.873,21.64,143.2
2.699,1.199,1.425,15.72,66.8
3.033,4.384,0.455,7.08,37.88
4.232,1.588,1.025,17.4,47.6
4.75,1.369,0.775,23.76,70.8
2.341,4.135,0.62,10.8,46.8
2.827,3.667,0.4,6.68,25.2
3.043,4.692,0.625,11.32,31.32
1.687,1.174,0.355,6.64,39.56
2.235,2.386,1.585,25.08,114.28
3.122,1.695,1.885,34.72,120.28
2.219,2.774,1.3,31.52,71.76
3.185,2.092,1.575,35,90.68
3.514,5.119,4.191,21.76,145.6
4.459,2.624,1.485,15.84,82.8
4.339,1.473,0.915,18.6,86
4.92,1.417,0.705,21.96,66.4
3.648,3.78,0.62,24.44,78
2.916,4.916,0.885,13.88,46.8
3.127,1.691,1.96,35.12,123.84
3.441,4.719,3.155,24.28,151.6
3.336,4.613,1.28,23.28,81.6
3.649,2.674,1.785,17.72,58
3.875,4.924,1.895,26.72,141.6
2.612,4.114,0.57,7.44,47.6
2.34,4.141,0.54,10.6,53.2
3.811,1.318,0.75,26.6,80.8
3.661,3.788,0.875,20.8,76.4
4.34,3.736,2.818,21.96,80.8
2.972,0.988,3.805,28.88,219.32
2.286,3.068,0.605,12.8,67.16
1.813,2.116,1.003,20.56,110
3.379,4.308,1.9,24.8,83.6
1.965,2.807,0.895,24.16,102.44
3.559,4.009,4.02,21.96,101.6
2.267,4.189,0.56,11.12,57.2
2.965,1.002,1.39,24.6,149.2
3.12,1.469,1.91,8,50.4
3.454,4.654,1.07,19.92,70.8
1.071,1.567,0.795,15.28,65.6
3.573,3.542,0.55,16,76
3.331,4.609,1.255,25.44,101.6
3.541,1.739,2.055,20.8,59.36
3.303,3.963,1.22,20.32,90
3.316,2.987,0.975,23.6,83.2
1.879,1.171,0.465,9.16,44.4
1.122,2.267,1.145,31.56,74.4
4.423,1.078,1.525,26.8,87.6
1.241,1.155,1.455,12.68,39.6
1.706,1.848,1.12,19.96,83.2
3.26,5.42,1.819,28.6,82.4
4.081,0.897,0.495,10.92,50.4
3.077,2.926,2.12,21.52,64.8
3.406,4.741,2.15,19.72,120.8
3.699,3.8,0.65,19.28,74
1.619,2.883,0.84,16.08,58.8
3.196,1.814,3.925,26.12,92.36
3.447,4.733,1.98,17.68,108
3.009,4.738,0.45,10,39.4
3.452,4.736,2.96,15,148.4
2.908,1.263,1.685,14.72,84.32
4.578,1.512,1.305,27.2,77.6
3.512,5.124,4.227,22.92,136.8
3.312,2.991,0.98,19.4,72.8
2.159,2.041,1.57,28.32,81.6
4.742,1.381,0.86,23.48,63.6
3.592,4.027,2.17,29.48,74.4
3.152,3.272,1.56,23.52,94
4.781,1.375,0.81,20.84,58.8
2.319,2.405,1.71,26.96,125.4
3.617,2.084,0.845,26.2,79.6
2.278,0.929,0.357,6.56,46.8
3.792,2.695,1.535,13.4,52.4
4.113,2.7,1.285,7.16,65.2
3.043,4.698,1.82,10.44,39.8
3.271,2.16,0.945,32.6,104.36
1.433,1.525,1.605,16.2,75.2
3.184,2.098,2.23,37.72,96.6
